latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
9.1657,26.32096,337.96,0.49,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,302.44,4.74,D
9.21106,25.54019,335.95,0.54,0.42,2025-10-31,1123,N,VIIRS,n,2.0NRT,296.86,7.73,D
9.21428,26.4403,334.72,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,301.2,2.72,D
9.21493,25.53955,330.36,0.54,0.42,2025-10-31,1123,N,VIIRS,n,2.0NRT,296.82,6.29,D
9.21501,26.43913,340.42,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,301.17,5.53,D
9.21588,26.81571,339.29,0.46,0.39,2025-10-31,1123,N,VIIRS,n,2.0NRT,306.69,5.79,D
9.21724,26.43535,334.8,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,299.69,2.29,D
9.2188,25.53893,342.8,0.54,0.42,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.06,6.29,D
9.22656,24.47634,331.9,0.41,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,299.95,5.41,D
9.2332,26.48624,339.69,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,304.61,25.46,D
9.23392,26.49058,351.5,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,305.47,25.46,D
9.23464,26.49491,334.38,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.46,4.86,D
9.23548,24.47869,345.6,0.41,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.39,5.71,D
9.23687,26.48564,337.44,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.2,25.46,D
9.24531,26.3994,334.05,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,302.31,4.79,D
9.24634,26.49744,345.79,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,301.5,12.2,D
9.251,26.64117,337.57,0.47,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,302.7,4.01,D
9.25143,26.64195,339.34,0.47,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,302.76,5.68,D
9.25367,26.49624,334.6,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.95,8.06,D
9.25673,26.46904,335.78,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.58,3.81,D
9.25733,26.49565,345.02,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.91,6.13,D
9.25873,26.78294,349.01,0.46,0.39,2025-10-31,1123,N,VIIRS,n,2.0NRT,304.12,6.28,D
9.2604,26.46844,330.15,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.03,2.06,D
9.26099,26.49505,336.67,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,299.71,6.13,D
9.26508,24.57737,341.3,0.41,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.44,3.15,D
9.26845,26.47158,337.63,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,300.54,4.54,D
9.26878,24.34774,344.41,0.42,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,301.31,10.51,D
